champion,bucket,picks,win_rate,ban_rate,ban_win_salience_residual
Varus,mid,3427,0.4905164867230814,0.0003704161007531794,-0.1679761411974936
Vayne,mid,34042,0.49550555196521945,0.07376572063570458,0.247132701788177
Veigar,mid,4083,0.46265001224589763,0.03761487308838834,1.2352113540264695
Vel'Koz,mid,5308,0.5226073850791259,0.0008995819589720072,-1.422519211351103
Vi,mid,8364,0.49390243902439024,0.00808741819977775,-0.2365844508673785
Viktor,mid,5802,0.48879696656325405,0.003016245391847318,-0.0784982931766049
Vladimir,mid,8081,0.47989110258631357,0.004965339636286667,0.2871059670121849
Volibear,mid,7406,0.5295706184174993,0.008069779337837122,-1.6360173976996197
Warwick,mid,4831,0.5106603187745808,0.0020020108302612315,-0.9446529637680041
Wukong,mid,8652,0.5186084142394822,0.0048947841885241565,-1.23238684352314
Xerath,mid,2645,0.49792060491493384,0.0007055544776251036,-0.45565537727853683
Xin Zhao,mid,10208,0.5051920062695925,0.03295821353606265,-0.47249415976974535
Yasuo,mid,16208,0.47859081934846986,0.3112818160972254,2.8874388695694218
Yorick,mid,817,0.47980416156670747,0.0014552061101017763,0.2613035990793661
Zac,mid,5053,0.4963388086285375,0.0037658970243239906,-0.368130736723657
Zed,mid,18744,0.5027208706786171,0.05670012170814739,-0.17795761657852224
Ziggs,mid,2263,0.4701723376049492,0.0006526378918032209,0.632487008817521
Zilean,mid,3527,0.5072299404593139,0.0031397174254317113,-0.80060839076929
Zyra,mid,4128,0.5198643410852714,0.0011024288712892245,-1.3132195950969878
Aatrox,high,528,0.48484848484848486,0.006071703932151118,0.11643890980322191
Ahri,high,5803,0.5293813544718249,0.008794333076329992,-1.5555395075362384
Akali,high,666,0.4744744744744745,0.005276599845797996,0.504670278419119
Alistar,high,4904,0.508768352365416,0.0060957979953739395,-0.7928846275809298
Amumu,high,1322,0.4962178517397882,0.0015179259830377795,-0.35150068801229717
Anivia,high,2852,0.5255960729312763,0.013516769468003084,-1.3746518429956367
Annie,high,2579,0.4955409073284219,0.009734001542020046,-0.2614602638432806
Ashe,high,1352,0.4992603550295858,0.00028912875867386276,-0.47680350903332597
Azir,high,1834,0.44711014176663033,0.0029153816499614496,1.5266728862301662
Bard,high,5535,0.46070460704607047,0.006240362374710871,1.035788578087439
Blitzcrank,high,8535,0.5265377855887522,0.01982941403238242,-1.3610547480556923
Brand,high,7009,0.5238978456270509,0.15321414803392444,-0.2167780076565471
Braum,high,3827,0.4854977789391168,0.003011757902852737,0.06780281728788906
Caitlyn,high,5770,0.4599653379549393,0.006216268311488049,1.0637094571609864
Cassiopeia,high,682,0.46480938416422285,0.000698727833461835,0.8363414195701433
Cho'Gath,high,1014,0.47830374753451677,0.0007710100231303007,0.3238069992477127
Corki,high,3011,0.5097974094985055,0.002578064764841943,-0.8595433018889401
Darius,high,3245,0.4927580893682589,0.04021299151888975,0.08288674734265107
Diana,high,2346,0.479539641943734,0.009324402467232073,0.34375490903431727
Dr. Mundo,high,4285,0.5313885647607934,0.7045104086353122,3.8129629546938584
Draven,high,2874,0.5295755045233125,0.003324980724749422,-1.6057260560142042
Ekko,high,3886,0.45316520844055586,0.0063849267540478025,1.323592723183291
Elise,high,3801,0.47855827413838464,0.027033538936006168,0.5196652432294799
Evelynn,high,2227,0.5065110013471037,0.013709521973785659,-0.6474660744599299
Ezreal,high,9522,0.48571728628439403,0.003710485736314572,0.06492481931163152
Fiddlesticks,high,603,0.4660033167495854,0.0008914803392444102,0.7924526949199264
Fiora,high,4709,0.48375451263537905,0.16082787201233617,1.3691902936047189
Fizz,high,4824,0.5084991708126037,0.03125,-0.5857872796001029
Galio,high,356,0.47752808988764045,0.001373361603700848,0.3580141889455796
Gangplank,high,4376,0.5182815356489945,0.14321511179645335,-0.08148201636089636
Garen,high,899,0.5105672969966629,0.00496337702390131,-0.8701489936199328
Gnar,high,2316,0.4805699481865285,0.001373361603700848,0.24235272319756745
Gragas,high,1445,0.44359861591695504,0.000939668465690054,1.6447303032411478
Graves,high,4006,0.5139790314528208,0.07507710100231303,-0.4511493285721364
Hecarim,high,3134,0.5194639438417358,0.006119892058596762,-1.1993776580763982
