champion,bucket,picks,win_rate,ban_rate,perceived_minus_actual
Kha'Zix,high,1638,0.4609279609279609,0.0029668088262562583,1.0299292196781513
Kindred,high,4277,0.5167173252279635,0.47934822918598186,2.6142268010686975
Kog'Maw,high,649,0.47303543913713403,0.001344335249397367,0.5516806340245477
LeBlanc,high,4255,0.45334900117508814,0.007324309289820137,1.3554627843906053
Lee Sin,high,17274,0.48697464397360196,0.05347209345447803,0.42379632678581824
Leona,high,2629,0.5138836059338151,0.00039402929723715926,-1.026418755371426
Lissandra,high,2341,0.4856898761213157,0.0013211570554422399,0.0649213042784686
Lucian,high,18795,0.48784251130619843,0.01251622473576859,0.0697931835826393
Lulu,high,5608,0.5162268188302425,0.025148340441312814,-0.9227230915390026
Lux,high,4000,0.51525,0.0022946412015575745,-1.0640788158413697
Malphite,high,6575,0.5301901140684411,0.23509642128685332,0.1839997356080243
Malzahar,high,1332,0.5375375375375375,0.0019701464861857964,-1.9236010338824923
Maokai,high,757,0.4848084544253633,0.00046356387910254034,0.09209912791845659
Master Yi,high,3111,0.49437479909996784,0.017499536436120896,-0.14236788205557743
Miss Fortune,high,9417,0.536582775830944,0.035161320229927684,-1.6270444376609239
Morgana,high,5773,0.4978347479646631,0.006234934173929167,-0.3635945375404268
Nami,high,3986,0.5155544405418966,0.0003708511032820323,-1.090845752381819
Nasus,high,1982,0.49596367305751765,0.002943630632301131,-0.3174162655093646
Nautilus,high,2838,0.5130373502466525,0.0009734841461153347,-0.9893428380584575
Nidalee,high,5290,0.4998109640831758,0.051386055998516596,-0.08610619936220457
Nocturne,high,1483,0.48954821308159135,0.001390691637307621,-0.0828918879617101
Nunu,high,1146,0.5287958115183246,0.0017151863526793992,-1.5894674793032988
Olaf,high,1373,0.49089584850691914,0.0017847209345447804,-0.13162529234917403
Orianna,high,2929,0.46432229429839533,0.0005562766549230484,0.8805417224236936
Pantheon,high,2707,0.5171776874769117,0.0052846282217689595,-1.1147928343760711
Poppy,high,3415,0.469692532942899,0.060263304283330245,1.1414802576306955
Quinn,high,3162,0.5183428209993675,0.1253476729093269,-0.21965185256586384
Rammus,high,3202,0.537788881948782,0.11005006489894308,-1.0871365107138078
Rek'Sai,high,4197,0.519418632356445,0.009827554236973854,-1.1653944182940252
Renekton,high,5237,0.4661065495512698,0.010708325607268681,0.8914127232074578
Rengar,high,5687,0.5273430631264286,0.3457491192286297,1.1597427853378308
Riven,high,5335,0.4693533270852858,0.0278833673280178,0.901029182333579
Rumble,high,985,0.4416243654822335,0.0006721676246986835,1.754210860801065
